User ID,Predicted User Category,Recommended News Category,Recommended Article
U5260,user_2,Education,Can Online Fundraisers Save Struggling Schools?
U1695,user_2,Education,The Real Future Economy
U9940,user_2,Education,The Global Search for Education:  With the World in Mind
U9488,user_3,Crime,Mom Fights Off Mountain Lion After It Attacks Her 5-Year-Old Son
U5808,user_3,Crime,Police Search For Gunman Who Killed 5 At Mall In Washington State
U0109,user_3,Crime,Search For Country Music Singer Heats Up After Friend Found Dead
U3661,user_1,Entertainment,Someone Tried To Burn Down The Kardashians' Dash Store Because Nothing Is Sacred
U7302,user_3,Crime,Two West Virginia Towns Evacuated After Oil Train Explodes In Fiery Derailment
U3861,user_3,Crime,Fort Lauderdale Airport Shooting Survivor Says He Was Saved By His Laptop
U7211,user_1,Entertainment,'Bachelor In Paradise' Star Corinne Olympios Hires Top Lawyer Following Scandal
U9109,user_1,Entertainment,Jimmy Kimmel Spots The Donald Trump Quote That Should Be The Title Of His Memoir
U3847,user_1,Entertainment,"Mariah Carey Does Will Ferrell's Makeup, Reveals She's A Closet 'Elf' Fan"
U8206,user_2,Education,California Law Spurs Reforms After High School Suicide Cluster
U7650,user_1,Entertainment,Friday Box Office Positions 'Grown Ups 2' Ahead Of 'Pacific Rim'
U9012,user_1,Entertainment,'Fashion Police' Co-Stars Remember Joan Rivers
U2780,user_2,Education,Housing Crisis In California Forces More Students Into Homelessness
U1879,user_1,Entertainment,Taylor Swift's Former Bodyguard Said He Saw Groping Occur
U2886,user_2,Education,Brainstorming Middle School
U0959,user_3,Crime,Three Milwaukee County Jail Staff Members Charged For Inmate's Dehydration Death
U5600,user_1,Entertainment,Simone Biles Fangirls Over 'Pretty Little Liars' The Way We Fangirl Over Her
U7060,user_1,Entertainment,"Ellen Gave Andy Cohen A Custom RompHim And Yes, It Looks Ridiculous"
U4604,user_3,Crime,Officers Arrest Texas Student For Bringing Loaded Gun To Middle School
U5286,user_2,Education,The Untapped Potential of Teacher Networks
U5190,user_1,Entertainment,Kendra Wilkinson Defends Hank Baskett Marriage
U4889,user_3,Crime,"Savannah, Georgia Warehouse Fire Burns 5,600 Tons Of Rubber"
U1838,user_3,Crime,Man Describes Wife’s Terrifying Brush With San Bernardino Gunman
U1122,user_2,Education,What Common Core Won
U5222,user_2,Education,4 Ways the House Republican Budget Hurts Students
U8081,user_1,Entertainment,Britney Spears Took Her Mom To See Male Strippers And This Is What Happened
U5485,user_1,Entertainment,'Super Troopers 2' Is Officially Happening
U6086,user_3,Crime,Mom Sentenced For Encouraging Boyfriend's Sex Assault On Baby
U3771,user_1,Entertainment,"The Berlinale Diaries: Jafar Panahi's Taxi, Breathe Umphefumlo and the True Meaning of Democracy"
U0209,user_2,Education,How to Be the Change - An Interview with Dr. Thomas McGovern
U6368,user_2,Education,"The Global Search for Education: Head, Heart, Soul, and Frankenstein"
U7818,user_3,Crime,Ohio Man Threatened Historical Mass Shooting At Las Vegas Casino
U7664,user_3,Crime,Armed 'Sovereign Citizen' Busted In Boston After Buying Explosive Ingredients: FBI
U2891,user_1,Entertainment,Vanessa Hudgens Is Now A Redhead
U9733,user_1,Entertainment,"DVDs: Fresh Wuthering Heights, Classic Bruce Lee, Lame Lindbergh"
U2768,user_2,Education,Encouraging the Discouraged Reader
U3375,user_3,Crime,DNA Forensic Error and the Execution of Innocents
U4012,user_1,Entertainment,Do You Really Think Kanye West Didn't Have A Cell Phone Before 2011?
U1335,user_2,Education,Teachers Are Still Bringing 'Harry Potter' Magic To Their Classrooms 19 Years Later
U5548,user_3,Crime,What You Can Do To Help After The Oakland Warehouse Fire
U3829,user_1,Entertainment,Chrissy Teigen Says She'd Be Kim Kardashian's Surrogate 'In A Heartbeat'
U2020,user_3,Crime,Exclusive Look Inside The Baltimore Police Investigation Into Freddie Gray's Death
U1827,user_3,Crime,Prisoner Takes Down Fellow Inmate During Vicious Attack On Officer
U0529,user_2,Education,Don't Let the FAFSA Ruin Your Holiday Cheer: 10 Financial Aid Myths Debunked
U4449,user_2,Education,"Is Higher Education Suffering a Crisis of Budget, Buildings or Failure to Adapt?"
U6627,user_2,Education,"Graduation Rates Are Rising, but Too Many Students Are Still Falling Behind"
U5209,user_3,Crime,Two Fundamentalist Mormon Towns Are On Trial And The Evidence Is Adding Up
U0166,user_1,Entertainment,Weekend Box Office: 'Wreck-It Ralph' Takes An Early Lead With 'Flight' In Second
U8497,user_1,Entertainment,Melissa Joan Hart Reacts To That New 'Sabrina'-'Riverdale' Reboot
U7537,user_2,Education,What Your Average School Lunch Looks Like
U2060,user_1,Entertainment,Tom Cruise Ankle-Break Scene Goes For Laughs In 'Mission: Impossible' Trailer
U9471,user_3,Crime,6 Bystanders Reportedly Shot Just An Hour After Alabama Peace Rally
U9961,user_3,Crime,O.J. Simpson Released From Nevada Prison
U8756,user_1,Entertainment,This New Free Donald Trump Mobile Game Will Rule Your Weekend
U0128,user_2,Education,Strategies For Evaluating The Trump Presidency In A High School Classroom
U7884,user_2,Education,Recruiting Late-Career Professionals to Teaching
U1258,user_3,Crime,Louisiana Cop Targeted Hispanic Drivers In Traffic Thefts: Police
U5535,user_1,Entertainment,The Trailer For Spike's Heath Ledger Documentary Will Make You Misty-Eyed
U4718,user_2,Education,How Can We Learn from Success Without Some Way of Telling Who's Successful?
U0154,user_2,Education,Happy Birthday America
U1440,user_3,Crime,"3 Dead, More Than A Dozen Injured After Car Speeds Through Massachusetts Auto Auction"
U0160,user_3,Crime,Fire Breaks Out In New York City Building
U4648,user_3,Crime,Unarmed Hotel Security Guard Who Found Las Vegas Shooter Hailed As Hero [UPDATE]
U5986,user_2,Education,"Change the Game for Girls in STEM: We Don't Need More, We Need Different"
U0984,user_1,Entertainment,Jordan Klepper Asks Trump Supporters To Explain Biden Conspiracy Theory And... Wow
U0306,user_2,Education,A Futurist Prediction for Virtual Education
U7556,user_2,Education,Every Teacher Should Be Bad At Something
U2065,user_3,Crime,Houston Shooting Survivor: My Slain Family Is 'In A Much Better Place'
U5683,user_3,Crime,Someone Abandoned 2 Sick Foals In A Field And Left Them To Die
U0583,user_3,Crime,Nevada Rancher Cliven Bundy Indicted For 2014 Standoff
U5702,user_3,Crime,4-Year-Old Girl Dies After Being Left In Car For Hours On A Hot Day
U1185,user_3,Crime,"Daphne Viola Webb Missing: California Toddler's Father, John Webb, Freed As Search Continues"
U5070,user_3,Crime,"Weeks Before Aurora Attack, James Holmes Had University On Edge"
U2023,user_3,Crime,Man Gets Five Years For Raping Puppy
U8262,user_2,Education,"Kindergarten Readiness, Part 2"
U3186,user_1,Entertainment,LA-LA-LA: 10 Songs With Music's Favorite Catch Phrase
U8264,user_3,Crime,3 Seriously Injured In Grand Central Station Stabbing
U6149,user_3,Crime,"Cops Foot $55,000 Bill For Cell Phone They Gave To Burglar"
U2237,user_1,Entertainment,Beach Boys Confirm They're Considering Playing Trump's Inauguration
U7564,user_2,Education,"Swatting, But Not at Flies"
U4276,user_1,Entertainment,Jennifer Holliday Won't Perform At Donald Trump's Inauguration After All
U8977,user_2,Education,What White Educators Can Learn From Pittsburgh's Police Chief
U1851,user_3,Crime,"Woman In Heroin Deaths Panicky Then Calm, Police Say"
U7521,user_2,Education,Promoting Meaningful Education:  Phi Beta Kappa Honors the Washington Consortium for the Liberal Arts
U6559,user_2,Education,Treat People as You Want to Be Treated
U6881,user_2,Education,Flipping The Switch
U8916,user_3,Crime,Texas Mom Arrested After Children’s Bodies Found Under Neighbor’s House
U2128,user_2,Education,A Teacher's Plea to President Obama
U7309,user_1,Entertainment,Margarethe von Trotta's Hannah Arendt
U5300,user_2,Education,Saudi Women Leaders Reshape Early Education
U3299,user_2,Education,Higher Ed Slims Down
U1258,user_3,Crime,Florida Man Arrested For Keying Swastikas Onto Cars
U6130,user_2,Education,BerkleeICE & beIN SPORTS Create The Soundtrack Of Copa America
U4093,user_1,Entertainment,They're Back
U9290,user_2,Education,Lullaby Of Algebra: How Mixing Music And Math Helps Engage Students
U9989,user_3,Crime,Ronald McDonald Wounded In Shootout Outside Sonic Restaurant
U0115,user_2,Education,"White Dads, Black Kids: Living Diversity in an Independent School"
U2668,user_2,Education,An Ode to a Teacher's Summer Vacation
U6659,user_3,Crime,Check Out This Pot-Slinging Catapult Found On Mexico's Border
U4891,user_1,Entertainment,Bill Gates Didn't Know He Was Name-Dropped In A Beyoncé Song
U4434,user_1,Entertainment,Shonda Rhimes Is Taking All Her Brilliant Talent To Netflix
U1168,user_3,Crime,Shooting Wounds 4 Near South By Southwest Festival In Austin
U9092,user_3,Crime,Woman Alleges She Was Forced Into Sex With Prince Andrew As A Minor
U6110,user_3,Crime,NYPD Sergeant Shot In The Face While On Duty In Queens
U9761,user_3,Crime,Here's How You Can Honor The Newtown Victims
U7319,user_3,Crime,"Forensic Science Is Not CSI, in Ferguson or Anywhere Else"
U9707,user_3,Crime,Teacher Joshua Waguespack Allegedly Recorded Girls Undressing At Catholic School
U7693,user_3,Crime,New Yorker Accused Of Hate Crime In Attack On Asian Man While Yelling 'White Power'
U7062,user_2,Education,ASU + GSV Report: Teachers and Tech Tools
U6549,user_3,Crime,Man Accused Of Killing NYPD Officer Pleads Not Guilty
U6303,user_3,Crime,Donations Pour In For Missouri Man Freed After 43 Years Of Wrongful Imprisonment
U7792,user_1,Entertainment,Shannen Doherty Will Appear In The 'Heathers' Reboot We Can't Wait To See
U3305,user_3,Crime,"Breanna Gomez, Wisconsin Runaway, Eludes Police In High-Speed Chase: Cops"
U9637,user_2,Education,Minneapolis Teacher Contract Race Language Ignites Firestorm
U9153,user_1,Entertainment,Stan Lee: Cinefantastique's New York Comic Con 2012
U7131,user_1,Entertainment,Rebecca Black & Dave Days Party All Day In 'Saturday' Music Video
U3913,user_3,Crime,Letters from Men in Prison: The Call for Accessible Entrepreneurship Education
U5981,user_2,Education,New Mexico Charter School CEO Steals Public Money For 15 Years. How’s That For Oversight?
U7571,user_3,Crime,Teenager With Replica Gun Shot By Los Angeles Police Wanted To Die: Police Chief
U5317,user_2,Education,What Do We Know About the New SAT?
U8090,user_3,Crime,Watchdog Probes Alleged 'Profiling' Of Somalis At Minneapolis Airport
U8788,user_3,Crime,Documents: Woman Admits Cutting Fetus From Stranger's Womb
U0156,user_1,Entertainment,Weekend Box Office: 'Mama' Takes The Number One Spot
U6458,user_3,Crime,In Which I Scold My Friends and Colleagues
U1113,user_3,Crime,Car Plunges Off 200-Foot Sea Cliff On Hawaii's Hana Highway
U6896,user_1,Entertainment,Zac Efron Confirms 'Star Wars: Episode VII' Talks
U4531,user_2,Education,"The Charter School Charade Offers Rhetoric, Not Evidence"
U0658,user_1,Entertainment,"Motorcycles, Riptides & More: Chats with Loudon Wainwright, Vancy Joy, John Velghe and Rocco DeLuca"
U4808,user_2,Education,Set To Stun
U0457,user_3,Crime,Someone Abandoned 2 Sick Foals In A Field And Left Them To Die
U1726,user_2,Education,Details of Duncan Equity Equality Plan
U9584,user_3,Crime,Man Crawls 3 Days After Surviving Crash That Killed Girlfriend
U3474,user_3,Crime,"Matt Roloff, Star Of 'Little People, Big World,' Speaks Out About Harassment, Death Threats"
U1919,user_3,Crime,5 Ways the IRS Scammers Could Have Stolen All Those Tax Returns
U2590,user_1,Entertainment,Miley Cyrus Declares Her Love For Liam Hemsworth In A Very Public Way
U3030,user_2,Education,"Just Put My Degree In The Mail! -- Notre Dame And Bethune-Cookman, Class Of 2017"
U9852,user_1,Entertainment,Christina Aguilera Wants 'Crackhead' Acting Role To Sink Her Teeth Into Something More Challenging
U9775,user_2,Education,Putting Our Children First: Teacher Marylin Zuniga Should Be Back in Her Classroom
U7348,user_3,Crime,Florida State Gunman Was Lawyer: Official
U8998,user_2,Education,Children Forced To 'Deal With It' And Bundle Up As Classrooms Lose Heat
U3455,user_3,Crime,"Robert Cole, Alleged Burglar, Gets Hog-Tied By Tulsa Homeowner"
U4059,user_2,Education,Singing in the Snow: Storms Produce Strength
U1230,user_3,Crime,"Holy Knockoff, Batman! Man Busted For Throwing 'Batarang' At Cops"
U3001,user_1,Entertainment,Pitbull's Tasteless Memorial Day Tweet Brings Americans Together
U6065,user_2,Education,Why America Demonizes its Teachers -- Part 3: What Teacher Evaluation Is Really About
U5825,user_2,Education,Internship Ideas For Aspiring Journalists (Besides Editorial)
U9795,user_2,Education,Hungry on Campus
U7134,user_2,Education,Closing the High School Graduation Gap
U5104,user_1,Entertainment,Amy Schumer And Selena Gomez Are Basically Twins At Glamour Women Of The Year Awards
U1724,user_3,Crime,Florida Man Sentenced For Running Over Ducks With Lawnmower
U8437,user_3,Crime,Mom Sentenced For Disturbing Sex Crimes Against Toddler Son
U7274,user_2,Education,Housing Crisis In California Forces More Students Into Homelessness
U4413,user_3,Crime,Louisiana Theater Shooter Identified As John Russel Houser
U7770,user_2,Education,Teaching Character Versus Life Skills in Schools: What's the Best Approach?
U7801,user_3,Crime,Man Accused Of Killing Dad For Not Getting Him Fast Food
U8622,user_1,Entertainment,"Just A Reminder That Women Dominate Pop Music, But Still Rarely Produce It"
U7664,user_3,Crime,"WATCH: Woman Allegedly Posed As Sheriff, Rammed Other Car In Road Rage"
U1031,user_3,Crime,New York City Mayor Calls For Pause In Protests After Police Killings
U8891,user_2,Education,Will Justin Bieber Become a Teacher?
U6640,user_2,Education,Every Mom and Dad a STEM Mentor
U6696,user_1,Entertainment,'Pan' Fails To Take Flight At The Box Office
U4977,user_3,Crime,"Oklahoma Girl Shoots Home Intruder: 12-Year-Old Uses Family's Gun To Protect Self, Home"
U7278,user_1,Entertainment,10 Artists Who Retired From Music And Made A Comeback
U4245,user_3,Crime,Texas Jury Selection Begins In 'American Sniper' Murder Trial
U4720,user_1,Entertainment,John Stamos Checks Into Rehab For Substance Abuse After DUI Arrest
U9846,user_3,Crime,"Blind Judge Makes History, Joins Michigan's Supreme Court"
U5353,user_3,Crime,The King Of Credit Card Fraud
U4122,user_1,Entertainment,J.J. Abrams 'Understands' Why You Call 'Force Awakens' A Rip-Off
U4467,user_3,Crime,Georgia Mayor Dies After Being Shot In Domestic Dispute
U5366,user_2,Education,"President Trump In The Eyes Of Kids, Parents And Teachers"
U1906,user_1,Entertainment,Trevor Noah One-Ups Stephen Colbert In Battle For Best Trump Mockery
U8985,user_2,Education,Kids First! Be a #KidVoter
U2545,user_3,Crime,Inmates On The Run After Using Clothes To Rappel From California Jail
U0112,user_1,Entertainment,"Dog Ears Music: Black Friday Playlist -- ""One Debt Away"""
U9582,user_3,Crime,Suit Accuses Milwaukee Sheriff Of Abuse Of Power In Airport Incident
U5884,user_1,Entertainment,Lena Dunham's Latest Bikini Selfie Has Us Dreaming Of Vacation
U1562,user_3,Crime,Families Remember Victims Of Tragic Oregon School Shooting
U5765,user_1,Entertainment,Country Singer Troy Gentry Dies In Helicopter Crash At 50
U7517,user_3,Crime,Police Say Friendly Fire That Killed Maryland Officer A 'Tragic' Misunderstanding
U8098,user_3,Crime,Martin Shkreli's Former Lawyer Convicted Of Helping Him To Defraud Pharmaceutical Firm
U0972,user_3,Crime,Watch Agile Burglar Break Into Jewelry Store Through Ceiling
U2075,user_3,Crime,Man Beaten To Bloody Pulp After Allegedly Raping Nephew's Girlfriend
U4073,user_2,Education,How I Engage in Racial Profiling
U8495,user_2,Education,Year-Round Schooling: Why It's Time to Change
U2558,user_1,Entertainment,Watch The First Trailer For Tim Burton's New Movie
U3321,user_2,Education,Lullaby Of Algebra: How Mixing Music And Math Helps Engage Students
U3702,user_1,Entertainment,Chrissy Teigen Annihilates The Twisted Logic Of Equating Trump And Clinton Scandals
U5798,user_3,Crime,4 Killed In Shooting Rampage At Pennsylvania Car Wash
U8704,user_2,Education,Law Schools Closing
U4790,user_2,Education,Around The World In 30 Days: October 2016
U8145,user_3,Crime,"Fire Captain Charged In Cold-Case Murders Of Ex-Wife, Mom, Friend"
U4306,user_2,Education,'What’s A White B*tch Like You Doing In A School Like This?'
U0332,user_2,Education,Here's How to Decide if Grad School is Right for You
U1675,user_2,Education,Michigan Schools: An Example Of Needed Vigilance Nationwide
U4669,user_3,Crime,"Florida Dad Let Teen Daughter Dance, Do Drugs At Strip Club: Cops"
U1701,user_2,Education,Where's the Science in Science Education?
U5739,user_1,Entertainment,Celebrities React To Bill Cosby Mistrial With Total Indignation
U3119,user_2,Education,Is Your Child's Creativity Going Unnoticed?
U5752,user_1,Entertainment,Selena Gomez Gushes About Rumored New BF Zedd
U2537,user_2,Education,What D.C. Schools Won’t Report: Many NAEP Subgroup Gains Slowed Under Rhee/Henderson
U0168,user_2,Education,"President Trump In The Eyes Of Kids, Parents And Teachers"
U3962,user_2,Education,The Practical Liberal Arts
U4963,user_2,Education,Sanitizing History in the Name of Patriotism
U2758,user_2,Education,Can Students Wear American Flag Clothing to School?
U3498,user_1,Entertainment,'The Leftovers' Final Season Trailer Gives Us A Holy Mystery
U5651,user_3,Crime,"Police Arrest 16-Year-Old Boy Suspected Of Killing Parents, Sister On New Year's Eve"
U9429,user_3,Crime,Student Killed In Accidental Shooting At Alabama School: Report
U2748,user_3,Crime,Gregory Weiler II Found Not Guilty By Insanity In Church Bomb Plot
U6961,user_3,Crime,"4 Dead, Dozens Injured After Car Plows Into OSU Homecoming Crowd"
U6168,user_3,Crime,Crocodile Stoned To Death By Visitors At Tunis Zoo
U7706,user_2,Education,California Law Spurs Reforms After High School Suicide Cluster
U3524,user_3,Crime,Mount Sterling Police Department Shut Down; Officer Accused Of Using Taser On 9-Year-Old Boy
U4107,user_2,Education,Modern Day Activists Call it 'Historic Trauma'
U9964,user_2,Education,Truth and Consequences
U5010,user_1,Entertainment,All The Movies That Are Cool For The Summer
U6148,user_2,Education,"Arkansas Residents Jim And Alice Walton Pony Up $1,835,000 To Raise Charter Cap In Massachusetts"
U0671,user_1,Entertainment,You Can Be The Proud Owner Of Zac Efron's First Car
U7041,user_3,Crime,Wealthy Texas Couple Accused Of Enslaving Young Woman For 16 Years
U6375,user_3,Crime,Surgical Tech In Needle-Swap Scandal At Swedish Medical Center Has HIV
U3951,user_1,Entertainment,'Scandal' Star Columbus Short Arrested Again
U8264,user_1,Entertainment,Could Glenn Make It To The Next Episode Of 'The Walking Dead'?
U7099,user_1,Entertainment,How Lifetime's 'UnREAL' Tackles The Princess Fantasy
U1898,user_3,Crime,Bodycam Video Of Police Entering Las Vegas Shooter's Hotel Room Finally Released
U9589,user_3,Crime,Ikea Pleads With Teen Pranksters: Stop Sleeping Over In Our Stores
U8620,user_1,Entertainment,Here's What Is Coming To Netflix In April 2018
U7593,user_1,Entertainment,Here's Your First Look At Nina Dobrev's Return In 'The Vampire Diaries'
U3864,user_3,Crime,Teen Charged With Raping 7-Year-Old Girl On School Bus
U4658,user_2,Education,Study: Kids Take 100-Plus Required Tests Through 12th Grade
U7231,user_2,Education,"My Classroom, Not My Island"
U5193,user_2,Education,An Education Revolution in One Word
U8740,user_3,Crime,Judge Orders Chicago Police To Release Graphic Video Of Officer Shooting Teen 16 Times
U9445,user_2,Education,Dear Teachers: Don’t Be Good Soldiers For The EdTech Industry
U5829,user_3,Crime,"Escaped Inmates Seen Near Pennsylvania Border, New York State Police Say"
U1036,user_2,Education,6 Tips That Could Help Your Student Loan Repayment
U3344,user_3,Crime,"Fight Breaks Out After Murder Suspect, Witness Put In Same Cell"
U8080,user_3,Crime,Commissioner Bratton Confirms NYPD Slowdown
U8690,user_2,Education,A Classroom Of Tomorrow
U1567,user_2,Education,"While Teachers Fight For Better Pay, West Virginia Lawmakers Discuss Opossums"
U5435,user_2,Education,If Ever There Was a Kid Born to Read
U0363,user_1,Entertainment,Robert De Niro Gives Donald Trump Another Savage Nickname
U9596,user_1,Entertainment,Uggie The Dog From 'The Artist' Dead At 13
U8296,user_2,Education,An Educator's Lament: Part I -- Symptoms of Our Educational Demise
U5687,user_3,Crime,Teen's Alleged Rape Goes Viral And Now She's Speaking Out
U3307,user_3,Crime,Man Throws Chainsaws At Cops During High Speed Chase
U2617,user_2,Education,Should We Hold Arne Duncan and Every Other Reformer Accountable for Every Child They Hurt?
U7077,user_2,Education,"Why Kids May Actually Need More Testing, Not Less"
U8623,user_3,Crime,"Feds Escalate Charges Against Edgar Welch, Alleged 'Pizzagate' Shooter"
U9642,user_3,Crime,Registered Sex Offender Allegedly Caught Working As Petco Santa Claus
U0409,user_2,Education,Is Your Child's Creativity Going Unnoticed?
U3722,user_3,Crime,Mayor De Blasio Postpones Italian Vacation In Light Of Man's Chokehold Death
U8388,user_3,Crime,"Fire Captain Charged In Cold-Case Murders Of Ex-Wife, Mom, Friend"
U3882,user_2,Education,"60 Years After Brown v. Board, America's School Boards Call for Vigilance"
U9479,user_3,Crime,Video Could Be Key To Finding Alleged Killers Of Cop Charles Gliniewicz
U2766,user_1,Entertainment,John Stamos Shows Off New Baby To Bob Saget And Lori Loughlin
U9310,user_3,Crime,Grand Jury Indicts Atlanta Officer For Murder Of Unarmed Black Man
U8105,user_1,Entertainment,K-Pop Fans Lost Their Minds During The Winter Olympics Closing Ceremony
U6177,user_1,Entertainment,A Phone Dying Has Never Been This Heartbreaking Or Hilarious
U4719,user_2,Education,Too Many For-Profit Colleges Defraud Students And Taxpayers Alike
U9913,user_1,Entertainment,Selena Gomez Deletes Controversial Mosque Photo That Showed Her Ankle
U8353,user_3,Crime,Oregon Man Who Beheaded Mom's Cat Learns His Fate
U8874,user_2,Education,Make Entrepreneurship Education Your Summer School
U5250,user_1,Entertainment,Stephen Colbert Starts 'Trump Attacked Me On Twitter' Hall Of Fame
U9178,user_1,Entertainment,FX Reveals New Details About 'Fargo' Season 2
U2521,user_1,Entertainment,Movie Review: Black Sea... See It!
U9644,user_3,Crime,University Students Among Dozen Men Arrested in Alabama Statutory Rape Case
U8153,user_3,Crime,San Francisco Police Chief Ousted After Fatal Police Shooting
U6953,user_1,Entertainment,"Barbra Streisand Had Her Dog, Samantha, Cloned Twice"
U1424,user_3,Crime,Fire Breaks Out In New York City Building
U1931,user_1,Entertainment,Kelly Cutrone Says Russell Simmons Tried To Rape Her In 1991
U5971,user_2,Education,What Do We Know About the New SAT?
U2958,user_3,Crime,NYC Jail Violence On The Rise: Report
U2885,user_1,Entertainment,Dustin Lynch Set To Headline Tour After 'Hell Of A Night' Hits No. 1 On Country Charts
U2144,user_2,Education,Can We Learn to Get Along?
U4548,user_1,Entertainment,The End Is Near! Phineas and Ferb 'Last Day of Summer' to Air on Disney XD June 12
U3534,user_1,Entertainment,Leslie Jones Live-Tweeting Figure Skating Is Olympic Gold
U1312,user_1,Entertainment,This Honest 'Star Wars' Teaser Puts The Pressure On J.J. Abrams
U0470,user_2,Education,Free Speech on Campus
U1544,user_2,Education,Teachers Union President Joins Anti-Union Operative To Praise Charter Schools
U9591,user_2,Education,Tentative Deal Reached To End West Virginia Teacher Strike
U5759,user_1,Entertainment,Taylor Swift Shares 'Family Portrait' With Lots Of Famous Ladies
U8892,user_2,Education,"After Enrollment Dips, Public Schools Hope For Fall Rebound"
U5311,user_2,Education,12 Things Teachers Think But Can't Always Say to Parents
U7511,user_2,Education,The Indignant and Audacious Teacher
U2995,user_2,Education,Move Over Memorization
U7958,user_3,Crime,Second Shooting Reported At College In 24 Hours
U0319,user_3,Crime,Suspect In Memphis Cop Killing Turns Himself In
U1510,user_2,Education,How A For-Profit College Targeted The Homeless And Kids With Low Self-Esteem
U7983,user_3,Crime,"Owner Killed, 5 Wounded In New York Nightclub Shooting"
U2762,user_3,Crime,Poll Worker Injured By Trump Sign Booby-Trapped With Razor Blades
U2338,user_1,Entertainment,'Flip Or Flop' Stars Christina And Tarek El Moussa Sued By Former Employee
U0235,user_2,Education,My Mom Was A Unionized Public School Teacher. That's Why I'm A Reformer
U2411,user_1,Entertainment,'Silicon Valley' Season 5 Trailer Grants First Look At Post-T.J. Miller Era
U6295,user_3,Crime,Alec Simchuk Arrested: Fugitive Night Club Owner Allegedly Involved With Miami 'Bar Girl' Scam Caught
U9938,user_3,Crime,American Prison Warden Blown Away By Norwegian Jail
U4034,user_3,Crime,Teen Suspect Sought In Disturbing Cat-Throwing Video
U6119,user_1,Entertainment,Zoe Saldana Shares Adorable Video Of Her Sleeping Twins
U2654,user_2,Education,"Swatting, But Not at Flies"
U9412,user_2,Education,Teacher Sets Her Students The Funnest Homework Assignments Ever
U4989,user_2,Education,How We Talk About Race
U3217,user_2,Education,The Smartest Thing I've Ever Read About Consent
U0293,user_2,Education,Parkland School District Votes Against Arming Teachers
U1561,user_2,Education,Grade-Span Tests Are Not the Answer
U1614,user_3,Crime,Justin Ross Harris Sentenced To Life In Prison For Toddler's Hot-Car Death
U3623,user_1,Entertainment,Mariah Carey To Headline 'New Year's Rockin' Eve' Despite 2016 Fail
U9968,user_2,Education,Your FAFSA Questions Answered
U6315,user_1,Entertainment,Justin Timberlake On 'FutureSex/LoveSounds': Singer Says His Second Album Was 'Polarizing'
U2893,user_1,Entertainment,Kim Kardashian Shuts Down Rumors She Partied While Son Was Hospitalized
U2496,user_2,Education,DeVos Department Tries To Block Public Streaming Of Student Debt Hearing
U0016,user_1,Entertainment,The First 'Suicide Squad' Trailer Is Here And It's Super Creepy
U0428,user_2,Education,Teaching the Greeks and Critical Thinking - Part 11: Does the Belief in an Afterlife Affect One's View of this Life?
U2331,user_3,Crime,Suspected San Diego Shooter in Custody After Hours-Long Standoff
U7704,user_3,Crime,"Nicole Houde, Former Miss New Hampshire, Arrested After Alleged Assault (PHOTOS)"
U5359,user_2,Education,Make Entrepreneurship Education Your Summer School
U8177,user_2,Education,Increasing Diversity in the STEM Pipeline
U4880,user_2,Education,To The Teachers Who Taught Beyond The Textbook
U0315,user_2,Education,"Parents, Share Your Story: How Do You Empower Student Learning?"
U4157,user_1,Entertainment,Diplo Says Selena Gomez's Relationship With Zedd Is 'Fake'
U9107,user_1,Entertainment,The ACM Awards Troll The Oscars So Hard With 'La La Land' Diss
U5195,user_2,Education,Schools ENACT Positive Change With Drama Therapy
U2050,user_1,Entertainment,Here's How Sir Ian McKellen Does The Ice Bucket Challenge
U7178,user_1,Entertainment,Channing Tatum Lets It Go As Elsa From 'Frozen' On 'Lip Sync Battle'
U9981,user_2,Education,"White Dads, Black Kids: Living Diversity in an Independent School"
U7849,user_3,Crime,Chris Kyle Dead: Author Of 'American Sniper' Shot And Killed At Gun Range
U9533,user_1,Entertainment,Kris And Bruce Jenner's Divorce Settlement Details
U6374,user_2,Education,Coming to Terms About Mentorship
U8182,user_2,Education,What I Know About Teaching And Learning (With Apologies To John Dewey)
U3537,user_1,Entertainment,"Rest in Peace, Ronnie Gilbert"
U9300,user_3,Crime,The Suprising Thing People Facing Federal Criminal Charges Learn
U5834,user_3,Crime,'Not Our Vision Of Justice': #BlackLivesMatter Condemns NYPD Cop Killings
U1845,user_3,Crime,"Young, Unarmed Black Man Killed By Cop Didn't Want To 'Die Too Young'"
U9265,user_3,Crime,Deadly Shooting Spree Suspect Arrested
U2046,user_3,Crime,Georgia Duo Sentenced To Years In Prison For Terrorizing Birthday Party With Confederate Flag
U9437,user_2,Education,Kids in Montana Unique: They're Learning the Truth
U9656,user_2,Education,The Global Search for Education:  Our Top 12 Global Teacher Blogs - How do you balance preparation for high stakes assessments with teaching and learning in your classroom?
U6185,user_2,Education,Parents as Chief Advocates
U6232,user_1,Entertainment,What Was It Like to Be a Part of the MIT Blackjack Team?
U6420,user_1,Entertainment,Ariana Grande Says Canceling Tour After Manchester Attack 'Was Not An Option'
U2111,user_1,Entertainment,Brangelina's Wax Figures Are Already Feeling The Effects Of The Divorce
U9201,user_2,Education,"You Graduated... Now, What? (10 Steps to Building Your Life on Purpose)"
U2932,user_2,Education,"Inspired By Skid Row, Educator Opening Charter To Help LA's Homeless Children And Families"
U0146,user_1,Entertainment,Read Leslie Knope's Letter To America On How To Cope With Trump's Victory
